2|1897
7|1899
9|1898
28|1911
6|1901
7|1939
2|1937
6|1941
22|1942
1|1936
9|1938
28|1952
1|1973
6|1978
7|1976
2|1974
9|1975
1|1993
3|1977
6|1998
7|1996
2|1994
2|2023
6|2027
7|2025
9|2024
1|2022
22|2028
1|2046
2|2047
7|2049
9|2048
6|2051
2|2084
9|2085
6|2088
14|2090
7|2086
39|2091
40|2092
21|2093
13|2095
11|2094
47|2096
28|2098
3|2087
22|2089
1|2083
49|2100
34|2097
25|2099
1|2113
3|2117
19|2104
9|2115
2|2114
7|2116
39|2122
40|2123
19|2105
11|2125
6|2118
19|2101
22|2119
19|2106
17|2127
13|2126
28|2128
14|2120
15|2121
19|2103
32|2124
49|2129
1|2144
19|2130
2|2145
7|2147
22|2150
19|2102
9|2146
3|2148
6|2149
1|2167
31|2153
40|2152
19|2158
32|2154
2|2168
13|2155
28|2157
14|2151
22|2173
17|2156
11|2176
13|2177
19|2179
9|2169
19|2180
6|2172
19|2181
19|2182
19|2184
40|2175
14|2174
19|2186
19|2188
28|2178
1|2190
7|2170
3|2171
9|2192
3|2194
19|2189
15|2198
19|2187
19|2183
2|2191
19|2185
7|2193
7|2211
14|2215
3|2212
6|2213
22|2214
2|2209
9|2210
1|2208
2|2232
9|2233
7|2234
6|2236
3|2235
36|2237
13|2222
1|2231
12|2246
26|2239
13|2247
1|2254
1|2266
9|2256
7|2257
2|2255
7|2269
2|2267
9|2268
2|2279
9|2280
9|2284
7|2285
2|2283
1|2282
1|2294
2|2295
7|2297
3|2298
9|2296
1|2311
9|2313
13|2308
15|2301
3|2315
13|2322
7|2314
1|2328
2|2312
15|2317
12|2307
9|2330
12|2321
7|2331
1|2343
7|2346
2|2329
2|2344
3|2332
9|2345
1|2359
2|2360
1|2370
9|2372
7|2373
2|2371
3|2374
1|2382
2|2383
9|2384
7|2397
7|2385
1|2394
9|2396
2|2395
9|2417
7|2418
1|2415
2|2416
3|2419
26|2442
12|2445
1|2437
4|2443
2|2438
3|2441
7|2440
1|2450
9|2439
23|2444
9|2468
1|2466
15|2457
37|2461
9|2452
12|2460
8|2463
18|2462
26|2456
19|2465
3|2454
2|2451
7|2453
7|2469
3|2470
23|2459
1|2481
2|2467
2|2482
7|2484
15|2472
3|2485
26|2471
4|2473
9|2483
2|2498
19|2479
1|2497
7|2500
9|2499
1|2515
7|2518
3|2501
2|2516
9|2517
3|2519
2|2547
1|2546
7|2549
9|2548
61|2563
1|2585
7|2588
9|2587
2|2586
3|2589
1|2621
7|2624
2|2622
1|2643
6|2626
2|2644
1|2670
26|2677
2|2671
9|2672
12|2681
3|2674
7|2673
22|2676
19|2690
19|2692
9|2706
2|2705
7|2707
6|2709
1|2704
1|2732
2|2733
7|2735
17|2742
12|2715
12|2741
9|2734
19|2750
26|2738
1|2768
1|2776
9|2778
2|2769
19|2787
1|2788
9|2770
7|2790
2|2789
2|2800
1|2799
3|2815
2|2812
9|2801
26|2817
1|2811
7|2802
7|2814
13|2822
3|2832
15|2834
2|2829
1|2839
9|2841
9|2830
7|2842
7|2831
4|2845
1|2828
26|2844
23|2846
9|2813
28|2848
1|2849
3|2843
2|2850
12|2847
2|2840
19|2825
7|2866
3|2867
14|2868
1|2863
26|2869
4|2870
2|2864
12|2874
23|2872
9|2851
19|2876
7|2852
9|2865
31|2871
9|2879
1|2891
11|2873
1|2877
7|2894
12|2887
3|2881
3|2895
2|2878
26|2898
7|2880
19|2889
9|2893
2|2892
15|2899
26|2883
19|2875
2|2915
3|2918
